,Entity,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%)
6138,Libya,LBY,2014,3.5259829273560093,16371.9021546442,6204108.0,3.5259829273560093,4901804,1302304,79.009,20.990999
6194,Liechtenstein,LIE,2014,232.04375,,37127.0,232.04375,5314,31813,14.312999999999999,85.686996
6250,Lithuania,LTU,2014,46.805538707103004,26258.210097410298,2961846.0,47.25796981204329,1967853,964514,67.108,32.891998
6306,Luxembourg,LUX,2014,214.794980694981,93655.3341630648,556316.0,214.79382239382198,500042,56277,89.884,10.116
6361,Macao,MAC,2014,19431.7161716172,130755.16070584301,,19691.6722408027,588781,0,100.0,0.0
6417,Macedonia,MKD,2014,82.3749008723236,12298.4901835571,2077495.0,82.3749008723236,1190072,887423,57.284,42.716
6473,Madagascar,MDG,2014,40.546237538673104,1372.02096124513,23589801.0,40.5465859967858,8146502,15443299,34.534,65.466003
6529,Malawi,MWI,2014,181.04410267288898,1090.3672076732,17068838.0,181.04410267288898,2753545,14315293,16.132,83.86799599999999
6585,Malaysia,MYS,2014,92.00431288997109,24194.633908454198,30228017.0,92.00431288997109,22240868,7987149,73.577,26.423000000000002
6641,Maldives,MDV,2014,1360.82333333333,13737.4141581271,408247.0,1360.82333333333,155567,252680,38.106,61.894001
6697,Mali,MLI,2014,13.9018070956163,1865.1606218307102,16962846.0,13.9018070956163,6648757,10314089,39.196,60.804001
6753,Malta,MLT,2014,1357.99375,31846.1895357267,425570.0,1329.90625,409992,24566,94.34700000000001,5.6529999
6809,Marshall Islands,MHL,2014,293.877777777778,3685.4625743870897,52898.0,293.877777777778,39877,13021,75.384,24.615999
6865,Mauritania,MRT,2014,3.9428737751043,3655.3885092314295,4063920.0,3.9428737751043,2040210,2023710,50.203,49.797001
6921,Mauritius,MUS,2014,621.149753694581,18255.8697234297,1257219.0,619.319704433498,518383,742551,41.111000000000004,58.888999999999996
6977,Mexico,MEX,2014,63.90164356079121,16622.5970457658,124221600.0,63.90164356079121,98126368,26095232,78.993,21.006999999999998
7003,Micronesia (country),FSM,2014,148.59285714285699,3130.054449859,,148.59285714285699,23298,80717,22.399,77.600998
7059,Moldova,MDA,2014,123.886055665865,4762.7808726743,4069939.0,123.89464231354602,1511326,2045071,42.496,57.504002
7115,Monaco,MCO,2014,19066.0,,38132.0,25591.9463087248,38132,0,100.0,0.0
7171,Mongolia,MNG,2014,1.88206184505265,11348.647341239699,2923896.0,1.88206184505265,1993015,930881,68.163,31.837
7227,Montenegro,MNE,2014,46.23122676579929,14796.635395559098,627674.0,46.667211895910796,407105,214705,65.471,34.528999
7283,Morocco,MAR,2014,76.89464933900959,7078.8814893239205,34318082.0,76.89464933900959,20678703,13639379,60.256,39.743999
7339,Mozambique,MOZ,2014,34.6046211755131,1079.82386564737,27212382.0,34.6046211755131,9219011,17993371,33.878,66.122002
7395,Myanmar,MMR,2014,79.5066178722362,4770.01209867368,51924182.0,79.48106047850109,15395520,36528662,29.65,70.349998
7451,Namibia,NAM,2014,2.8798989420495804,9617.3969565111,2370992.0,2.8798989420495804,1086531,1284461,45.826,54.174
7507,Nauru,NRU,2014,592.65,12561.4463359568,11070.0,553.5,11853,0,100.0,0.0
