countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop
Antigua and Barbuda,ATG,15-Apr-20,23,3,3,17,1,235,31,73,745,97872
Armenia,ARM,15-Apr-20,1111,17,297,797,30,375,6,9095,3069,2962667
Argentina,ARG,15-Apr-20,2571,112,596,1863,117,57,2,24374,539,45105263
UAE,ARE,15-Apr-20,5365,33,1034,4298,1,542,3,767000,77550,9898524
Andorra,AND,15-Apr-20,673,33,169,471,17,8710,427,1673,21653,77268
World,ALL,15-Apr-20,2083304,134616,510350,1438338,51142,267,17.3,,,7802636704
Albania,ALB,15-Apr-20,494,25,251,218,5,172,9,4558,1584,2872093
Anguilla,AIA,15-Apr-20,3,,1,2,,200,,,,15000
Angola,AGO,15-Apr-20,19,2,5,12,,0.6,0.06,,,31666667
Afghanistan,AFG,15-Apr-20,784,25,43,716,,20,0.6,,,39200000
Aruba,ABW,15-Apr-20,93,1,39,53,1,871,9,1198,11221,106774
