,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
30,Ghana,GHA,121.221855497934,3926.70904479081,27582821.0,14918445,12664376,54.086000000000006,45.914001,62.448,20.4,World,2,Africa,202,Sub-Saharan Africa,Western Africa,Ghana,288,Developing,Ghana,641,8.0,83.0,550,2.0,21.0,0.3,50719.0,1632.0,30523810,80.0,15.0,40.0,65.0,4.0,72.0,Ghana,1586131200,214.0,10.0,5.365976015021851,7.0109203274427405e-06,-11.868041577740293,3.044522437723423,0.05600180971769434,4.853560575313488,0.9576527914557313,3.6440366073092014e-06,0.005612456084083908,0.05600180971769446,-12.380457017448654,0.9576527914557316,3.644036607309111e-06,0.005612456084083904
31,Greece,GRC,83.947889837083,24170.3018369872,11217800.0,8445266,2375617,78.046,21.954,81.0365853658537,43.299999,World,150,Europe,39,Southern Europe,,Greece,300,Developed,Greece,2192,102.0,269.0,1821,72.0,210.0,10.0,50771.0,4871.0,10438095,60.0,35.0,57.0,112.0,45.0,50.0,Greece,1584921600,624.0,10.0,6.436150368369428,5.978102326142845e-05,-9.724822284135065,5.3471075307174685,0.13641306317953533,5.161556883700225,0.9555527822333214,4.516941280125961e-06,0.014029335037377204,0.13641306317953536,-10.999415768804267,0.9555527822333214,4.516941280125961e-06,0.014029335037377208
32,Honduras,HND,80.0860577352757,4319.47011829831,8960829.0,4943241,4017588,55.165,44.834998999999996,73.376,23.0,World,19,Americas,419,Latin America and the Caribbean,,Honduras,340,Developing,Honduras,426,35.0,9.0,382,10.0,43.0,4.0,1600.0,162.0,9906977,80.0,20.0,40.0,50.0,,,Honduras,1586304000,312.0,10.0,5.7430031878094825,3.1492956933280455e-05,-10.365746626552196,3.7612001156935624,0.10613480593725946,4.8193534532576106,0.9681313973887742,1.0294666315838088e-06,0.00915189072041255,0.10613480593725948,-11.289396361104068,0.9681313973887744,1.0294666315837758e-06,0.009151890720412519
33,Hong Kong,HKG,6944.095238095239,53591.835819824,7245701.0,7291300,0,100.0,0.0,84.2780487804878,43.200001,World,142,Asia,30,Eastern Asia,,Hong Kong,344,Developed,Hong Kong,1017,4.0,459.0,554,10.0,136.0,0.5,116273.0,15509.0,7477941,68.0,25.0,57.0,29.0,61.0,17.0,Hong Kong,1584057600,132.0,10.0,4.882801922586371,1.7651917820694227e-05,-10.94466612209159,4.912654885736052,0.029326505728786246,4.587413203526284,0.9779945413034875,1.972700551003748e-07,0.002085356890455988,0.029326505728786374,-11.24005484115168,0.9779945413034876,1.9727005510036984e-07,0.002085356890455992
34,Hungary,HUN,108.726698332045,25034.450730660497,9783925.0,6939335,2903693,70.5,29.5,75.56829268292691,41.700001,World,150,Europe,151,Eastern Europe,,Hungary,348,Developed,Hungary,1579,134.0,192.0,1253,58.0,163.0,14.0,37326.0,3864.0,9687117,46.0,80.0,88.0,82.0,58.0,31.0,Hungary,1585612800,492.0,10.0,6.198478716492308,5.078910474602506e-05,-9.887828699886013,5.093750200806762,0.1536773177175625,4.749604461833032,0.993460303123674,8.577332323716579e-10,0.005887360152048884,0.15367731771756235,-11.336702954545288,0.9934603031236736,8.577332323718534e-10,0.005887360152049032
35,Iceland,ISL,3.29990024937656,43048.125145278704,330243.0,309974,20841,93.7,6.3000002,82.4682926829268,36.0,World,150,Europe,154,Northern Europe,,Iceland,352,Developed,Iceland,1727,8.0,1077.0,642,8.0,5061.0,23.0,37386.0,109558.0,341237,30.0,60.0,10.0,50.0,28.0,67.0,Iceland,1584921600,568.0,10.0,6.342121418721152,0.0016645322752222062,-6.398211110796418,8.529319371214077,0.165541654077501,4.651524802519397,0.993578128029395,7.904852882598934e-10,0.006283931823342084,0.16554165407750104,-8.088807726998173,0.9935781280293952,7.904852882598314e-10,0.0062839318233420295
36,India,IND,440.28601602992103,5756.66466489307,1309053980.0,429068623,879985357,32.777,67.223,68.30199999999999,26.700001,World,142,Asia,34,Southern Asia,,India,356,Developing,India,12370,422.0,1508.0,10440,,9.0,0.3,274599.0,199.0,1374444444,77.0,48.0,56.0,40.0,51.0,26.0,India,1585267200,724.0,10.0,6.584791392385716,5.26758286346567e-07,-14.45652405330551,2.1972245773362196,0.19286688042131822,4.762207085161062,0.9912660586907925,3.143553148747113e-09,0.008552950240276434,0.19286688042131814,-16.279108360530167,0.9912660586907924,3.143553148747292e-09,0.008552950240276486
37,Indonesia,IDN,142.507390274734,10367.7019920006,258162113.0,137633967,120528146,53.313,46.687,69.025,28.0,World,142,Asia,35,South-eastern Asia,,Indonesia,360,Developing,Indonesia,5136,469.0,446.0,4221,,19.0,2.0,36000.0,132.0,270315789,78.0,14.0,46.0,48.0,62.0,38.0,Indonesia,1585180800,790.0,10.0,6.672032945461067,2.9225077932832107e-06,-12.743068476954226,2.9444389791664403,0.2054238682660133,4.702787738827589,0.9901767024514027,5.326631929117529e-09,0.009669219362952225,0.2054238682660133,-14.712313683587706,0.9901767024514028,5.3266319291172436e-09,0.009669219362952168
38,Iran,IRN,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,29.5,World,142,Asia,34,Southern Asia,,Iran,364,Developing,Iran,76389,4777.0,49933.0,21679,3643.0,909.0,57.0,299204.0,3562.0,84036304,58.0,41.0,43.0,59.0,14.0,40.0,Iran,1583625600,5823.0,10.0,8.66957087183712,6.929148145306342e-05,-9.577188582079255,6.812345094177479,0.37455935749113917,5.219622481896826,0.9879873691441393,1.3131050109305097e-08,0.019528724576636843,0.37455935749113906,-13.02713697201955,0.987987369144139,1.3131050109306731e-08,0.019528724576637114
39,Iraq,IRQ,83.1544690550746,15072.8686710974,36115649.0,25252423,10863226,69.921,30.079,69.672,19.4,World,142,Asia,145,Western Asia,,Iraq,368,Developing,Iraq,1415,79.0,812.0,524,,35.0,2.0,46135.0,1147.0,40428571,95.0,30.0,70.0,85.0,25.0,17.0,Iraq,1585180800,346.0,10.0,5.846438775057725,8.558303977649865e-06,-11.668608520893768,3.5553480614894135,0.10367663720205611,4.7742453457115825,0.9928466686566211,1.2830628661157206e-09,0.00415593338905809,0.10367663720205615,-12.740801950239907,0.9928466686566215,1.28306286611536e-09,0.004155933389057978
40,Ireland,IRL,68.2531136594571,60818.046239853604,4700107.0,2940510,1761447,62.538000000000004,37.462002000000005,81.45365853658541,36.900002,World,150,Europe,154,Northern Europe,,Ireland,372,Developed,Ireland,12547,444.0,77.0,12026,158.0,2541.0,90.0,90646.0,18358.0,4937820,28.0,70.0,68.0,35.0,24.0,65.0,Ireland,1585094400,1329.0,10.0,7.192182058713246,0.0002691471135035299,-8.220252437504765,7.840312983320164,0.23683391483241745,4.953809837027889,0.9923800999361708,1.7038886343049727e-09,0.00980178851199724,0.23683391483241745,-10.458624659190123,0.9923800999361708,1.7038886343049727e-09,0.00980178851199724
