,Entity,code,date,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr
789,Mexico,MEX,2015,64.7603842691427,16938.6054057995,125890949.0,99812639,26078310,79.285,20.715,76.933,27.5,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,Mexico,484,,,,Developing,Mexico,5847,449.0,2125.0,3273,207.0,45.0,3.0,40091.0,311.0,129933333,81.0,30.0,69.0,82.0,24.0,97.0
801,Moldova,MDA,2015,123.806319016268,4746.7849111142295,4065980.0,1510140,2043968,42.49,57.509997999999996,71.468,35.599998,1,World,150,Europe,151,Eastern Europe,,,Moldova,498,,,,Developed,Moldova,2049,46.0,171.0,1832,80.0,508.0,11.0,6271.0,1555.0,4033465,,,,,71.0,19.0
813,Montenegro,MNE,2015,46.25717472118961,15289.7211914952,628178.0,409418,212741,65.806,34.194,76.938,37.700001,1,World,150,Europe,39,Southern Europe,,,Montenegro,499,,,,Developed,Montenegro,288,4.0,55.0,229,7.0,459.0,6.0,3874.0,6168.0,627451,,,,,75.0,20.0
825,Morocco,MAR,2015,77.98190006721941,7296.9344014319095,34803322.0,21163552,13639770,60.809,39.191002000000005,75.57300000000001,27.9,1,World,2,Africa,15,Northern Africa,,,Morocco,504,,,,Developing,Morocco,2024,127.0,229.0,1668,1.0,55.0,3.0,10392.0,282.0,36800000,70.0,46.0,53.0,68.0,14.0,25.0
837,Mozambique,MOZ,2015,35.6197906864366,1118.2228441719801,28010691.0,9635678,18375013,34.4,65.599998,57.714,17.200001,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Mozambique,508,1.0,,,Developing,Mozambique,29,,2.0,27,,0.9,,793.0,25.0,32222222,85.0,15.0,38.0,44.0,11.0,80.0
849,Namibia,NAM,2015,2.94618056820804,9975.12546960707,2425561.0,1137588,1287973,46.9,53.099998,63.782,21.0,1,World,2,Africa,202,Sub-Saharan Africa,18.0,Southern Africa,Namibia,516,,,,Developing,Namibia,16,,3.0,13,,6.0,,362.0,142.0,2666667,65.0,30.0,40.0,45.0,35.0,
861,Nepal,NPL,2015,199.90430415068002,2314.27488100624,28656282.0,5317746,23338536,18.557000000000002,81.443001,69.887,23.200001,1,World,142,Asia,34,Southern Asia,,,Nepal,524,1.0,1.0,,Developing,Nepal,16,,1.0,15,,0.5,,15800.0,542.0,32000000,65.0,30.0,40.0,40.0,,
873,Netherlands,NLD,2015,502.81754229741796,46494.3642578078,16938499.0,15275237,1664686,90.17299999999999,9.826999699999998,81.509756097561,42.099998,1,World,150,Europe,155,Western Europe,,,Netherlands,528,,,,Developed,Netherlands,28153,3134.0,250.0,24769,1279.0,1643.0,183.0,140845.0,8220.0,17135119,38.0,80.0,14.0,53.0,67.0,68.0
885,New Zealand,NZL,2015,17.4535718354791,35309.8237244851,4614532.0,3967973,627727,86.34100000000001,13.659,81.45682926829271,37.299999,1,World,9,Oceania,53,Australia and New Zealand,,,New Zealand,554,,,,Developed,New Zealand,1401,9.0,770.0,622,3.0,291.0,2.0,70160.0,14549.0,4814433,22.0,79.0,58.0,49.0,33.0,75.0
897,Nigeria,NGA,2015,198.932490090802,5670.63944311027,181181744.0,86673723,94508021,47.838,52.161999,52.985,17.9,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Nigeria,566,,,,Developing,Nigeria,407,12.0,128.0,267,2.0,2.0,0.06,5000.0,24.0,203500000,80.0,30.0,60.0,55.0,13.0,84.0
909,Norway,NOR,2015,14.210294459883098,64008.2868303461,5199836.0,4208817,981422,81.09100000000001,18.909000000000002,82.3048780487805,39.200001,1,World,150,Europe,154,Northern Europe,,,Norway,578,,,,Developed,Norway,6798,150.0,32.0,6616,64.0,1254.0,28.0,130216.0,24020.0,5421053,31.0,69.0,8.0,50.0,35.0,55.0
921,Pakistan,PAK,2015,245.667954804898,4695.69987892337,189380513.0,68226224,121154289,36.025999999999996,63.973999,66.322,22.5,1,World,142,Asia,34,Southern Asia,,,Pakistan,586,,,,Developing,Pakistan,6383,111.0,1446.0,4826,46.0,29.0,0.5,73439.0,332.0,220103448,55.0,14.0,50.0,70.0,50.0,0.0
933,Panama,PAN,2015,53.3931799838579,20786.6596878595,3969249.0,2647330,1321919,66.696,33.304001,77.806,28.4,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,Panama,381,,,,Developing,Panama,3751,103.0,75.0,3573,106.0,869.0,24.0,16854.0,3906.0,4316456,95.0,11.0,44.0,86.0,,
